,PLAYER NAME,Put Carry,Score Carry,T2G Carry
133,Jimmy Walker,0.030422582994811494,-0.08782917483286933,-0.11823875826298932
134,Joaquin Niemann,-0.009887066767502162,0.22970007346586,0.23959287921348316
135,Joel Dahmen,-0.07860840625892515,0.1045101990999693,0.18313354004944074
136,Joey Garber,-0.023427906976744187,-0.06842790697674418,-0.045004651162790704
137,John Chin,-0.031831578947368426,-0.15552894736842104,-0.12370263157894737
138,John Huh,-0.034764353494928145,0.012145201867653353,0.04691424400312115
139,Johnson Wagner,0.12316644813193525,0.038401639689164886,-0.08476154535274358
140,Jon Rahm,0.12514294805457166,0.8093360517874434,0.6841995577498288
141,Jonas Blixt,0.09103998057909606,-0.07655820091807909,-0.16760065324858758
142,Jonathan Byrd,-0.05182013888888889,-0.10277361111111112,-0.05094861111111111
143,Jonathan Randolph,0.0039373529411764726,-0.12927745098039217,-0.13321735294117648
144,Jordan Spieth,0.14988945769640388,0.44188121969107585,0.29200322090778913
145,Joseph Bramlett,-0.0878959249084249,-0.04211538461538462,0.04578054029304029
146,Josh Teater,-0.10093930499968236,-0.08072206975414524,0.020214675052410903
147,José de Jesús Rodríguez,0.015146938775510205,-0.02403469387755102,-0.03918163265306123
148,Julián Etulain,0.012658823529411768,-0.0740843137254902,-0.08674705882352943
149,Justin Rose,0.12147003683538429,0.484198490355436,0.3627241808374608
150,Justin Thomas,0.04130792964135255,0.8430397453358002,0.80174374796603
151,K.H. Lee,-0.04333494623655914,-0.021458542413381125,0.021882795698924734
152,K.J. Choi,-0.03310689061154178,-0.14514207579672697,-0.11203238587424634
153,Keegan Bradley,-0.23208248937498743,0.22475881516002985,0.456843948645293
