,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR
147,José de Jesús Rodríguez,67,64.27,752,1170,-0.29
148,Julián Etulain,6870,66.7563.50,757743,11341170,-0.24-0.26
149,Justin Rose,6670663858,68.0669.9564.7863.1665.95,784831723432641,115211881116684972,-0.29-0.32-0.34-0.33-0.30
150,Justin Thomas,8691756687,67.1668.7770.6869.6167.79,95510159168271025,14221476129611881512,-0.36-0.33-0.34-0.34-0.35
151,K.H. Lee,9276110,67.6665.2064.26,10238451226,151212961908,-0.26-0.27-0.29
152,K.J. Choi,7254,63.0562.82,749588,1188936,-0.25-0.22
153,Keegan Bradley,10498896890,68.6369.1868.5066.4269.96,1260115810118131083,18361674147612241548,-0.27-0.27-0.26-0.25-0.27
154,Keith Mitchell,99866488,69.4267.3465.0264.62,12121006749977,1746149411521512,-0.28-0.30-0.28-0.29
155,Kelly Kraft,759487,63.1563.8362.41,8071057910,127816561458,-0.25-0.25-0.29
156,Ken Duke,77,63.69,814,1278,-0.24
157,Kevin Chappell,957741,65.2566.5265.18,1057886481,16201332738,-0.28-0.27-0.29
158,Kevin Kisner,10589977383,66.3865.3866.9965.3764.96,11719181037859912,17641404154813141404,-0.25-0.28-0.28-0.29-0.29
159,Kevin Na,8691657190,65.5164.6664.4463.2264.11,96710016968081004,14761548108012781566,-0.28-0.31-0.27-0.30-0.31
160,Kevin Streelman,90948373102,66.6771.5669.7567.6669.21,1056118510178891196,15841656145813141728,-0.25-0.24-0.26-0.28-0.29
161,Kevin Tway,96110845268,64.7166.8867.0162.6267.11,10251252965541749,1584187214408641116,-0.28-0.29-0.27-0.26-0.28
162,Kiradech Aphibarnrat,5165,62.2061.65,515688,8281116,-0.27-0.28
163,Kramer Hickok,795171,67.1066.2168.04,930584845,13868821242,-0.26-0.22-0.25
164,Kris Ventura,4878,67.1761.98,532781,7921260,-0.32-0.29
165,Kyle Jones,72,65.99,784,1188,-0.23
166,Kyle Reifers,96,65.97,1045,1584,-0.22
167,Kyle Stanley,10493815796,70.3971.0967.4772.5469.88,126711269236921132,1800158413689541620,-0.26-0.26-0.26-0.25-0.24
168,Kyle Thompson,50,62.44,517,828,-0.22
169,Lanto Griffin,809695,67.4265.5265.12,89810851055,133216561620,-0.27-0.29-0.29
170,Lee Westwood,65,64.78,723,1116,-0.26
171,Louis Oosthuizen,6962714881,65.2365.7466.8465.2867.64,728639770564901,111697211528641332,-0.25-0.23-0.29-0.28-0.31
172,Lucas Glover,9365946798,69.9467.1268.1568.7466.72,113373711048291153,16201098162012061728,-0.27-0.24-0.29-0.27-0.27
173,Luke Donald,5058,61.9267.06,535676,8641008,-0.27-0.22
174,Luke List,10298666991,69.1068.3665.4369.4868.41,121911697428631096,17641710113412421602,-0.29-0.27-0.28-0.27-0.29
175,Mackenzie Hughes,10680807094,64.7466.0165.2863.4164.44,12129038937991044,18721368136812601620,-0.26-0.27-0.28-0.30-0.29
176,Marc Leishman,9493766183,67.0466.6767.2161.4865.72,10861080871675899,16201620129610981368,-0.29-0.30-0.30-0.27-0.28
177,Mark Anderson,545162,65.6066.7868.15,614565687,9368461008,-0.24-0.23-0.25
178,Mark Hubbard,8186102,65.3966.6764.99,87110321123,133215481728,-0.23-0.31-0.29
179,Martin Flores,8892,70.6466.34,10301027,14581548,-0.25-0.26
180,Martin Laird,8373883982,65.8665.9069.8670.5169.44,98477110064951000,1494117014407021440,-0.27-0.29-0.27-0.24-0.24
181,Martin Piller,79,60.39,837,1386,-0.27
182,Martin Trainer,634863,60.4752.0555.46,664431589,10988281062,-0.29-0.25-0.27
183,Matt Atkins,56,63.46,594,936,-0.26
184,Matt Every,767947,60.1664.5965.06,758872527,12601350810,-0.30-0.26-0.28
185,Matt Fitzpatrick,545469,63.9466.0564.39,587642765,9189721188,-0.29-0.30-0.31
186,Matt Jones,64708876104,63.1066.4966.6066.2365.74,63674210079061207,10081116151213681836,-0.26-0.27-0.29-0.28-0.28
187,Matt Kuchar,9588875675,66.7366.8169.3864.9865.49,1105962999655778,16561440144010081188,-0.26-0.27-0.30-0.31-0.29
188,Matt Wallace,4460,63.6463.94,504610,792954,-0.28-0.27
189,Matthew NeSmith,7290,70.1871.09,8591126,12241584,-0.27-0.25
190,Matthew Wolff,7460,66.8264.95,890643,1332990,-0.30-0.32
